,resource,response,response_lower,response_upper
51,2192,0.9952231922377189,0.9893445765843041,0.999950382433192
52,2490,0.9958162012037561,0.9900716555065097,0.9999503703423621
53,2828,0.9959271216886888,0.9902826867486796,0.9999504237494948
54,3213,0.9967634172822392,0.9935150515243346,0.9999503935631238
55,3650,0.9968559305896935,0.9919232272053341,0.9999503948314586
56,4147,0.9975034953095313,0.9943581325329472,0.9999503897187908
57,4711,0.997603355669686,0.9947941285325628,1.0
58,5352,0.9980116504697165,0.9954316641079471,1.0
59,6081,0.9980535443445081,0.9954359002173587,1.0
60,6908,0.9983594941648622,0.9962195920857957,1.0
61,7848,0.9984663923456233,0.996412300585024,1.0
62,8916,0.998623621012382,0.9964187929343863,1.0
63,10129,0.9986455213176889,0.9973039302536154,1.0
64,11507,0.9986455213176889,0.9973039302536154,1.0
65,13073,0.9986455213176889,0.9973039302536154,1.0
66,14851,0.9986455213176889,0.9973039302536154,1.0
67,16872,0.9986455213176889,0.9973039302536154,1.0
68,19167,0.9986455213176889,0.9973039302536154,1.0
69,21775,0.9986455213176889,0.9973039302536154,1.0
70,24738,0.9986455213176889,0.9973039302536154,1.0
71,28104,0.9986455213176889,0.9973039302536154,1.0
72,31928,0.9986455213176889,0.9973039302536154,1.0
73,36272,0.9986455213176889,0.9973039302536154,1.0
74,41207,0.9986455213176889,0.9973039302536154,1.0
75,46813,0.9986455213176889,0.9973039302536154,1.0
76,53183,0.9986455213176889,0.9973039302536154,1.0
77,60419,0.9986455213176889,0.9973039302536154,1.0
78,68640,0.9986455213176889,0.9973039302536154,1.0
79,77979,0.9986455213176889,0.9973039302536154,1.0
80,88588,0.9986455213176889,0.9973039302536154,1.0
81,100642,0.9986455213176889,0.9973039302536154,1.0
82,114335,0.9986455213176889,0.9973039302536154,1.0
83,129891,0.9999999007159227,1.0,1.0
84,147564,0.9999999007159227,1.0,1.0
85,167642,0.9999999007159227,1.0,1.0
86,190451,0.9999999007159227,1.0,1.0
87,216364,0.9999999007159227,1.0,1.0
88,245803,0.9999999007159227,1.0,1.0
89,279246,0.9999999007159227,1.0,1.0
90,317241,0.9999999007159227,1.0,1.0
91,360404,0.9999999007159227,1.0,1.0
92,409441,0.9999999007159227,1.0,1.0
93,465149,0.9999999007159227,1.0,1.0
94,528437,0.9999999007159227,1.0,1.0
95,600337,0.9999999007159227,1.0,1.0
96,682018,0.9999999007159227,1.0,1.0
97,774814,1.0000000000000002,1.0,1.0
98,880234,1.0000000000000002,1.0,1.0
99,999999,1.0000000000000002,1.0,1.0
