,index,resource,response,response_lower,response_upper,count
87,87,216364,0.02553765178871909,0.0,0.07360733431580607,7
88,88,245803,0.02553765178871909,0.0,0.07360733431580607,7
89,89,279246,0.02553765178871909,0.0,0.07360733431580607,7
90,90,317241,0.02553765178871909,0.0,0.07360733431580607,7
91,91,360404,0.02553765178871909,0.0,0.07360733431580607,7
92,92,409441,0.02553765178871909,0.0,0.07360733431580607,7
93,93,465149,0.02553765178871909,0.0,0.07360733431580607,7
94,94,528437,0.02553765178871909,0.0,0.07360733431580607,7
95,95,600337,0.02553765178871909,0.0,0.07360733431580607,7
96,96,682018,0.02553765178871909,0.0,0.07360733431580607,7
97,97,774814,0.02553765178871909,0.0,0.07360733431580607,7
98,98,880234,0.02553765178871909,0.0,0.07360733431580607,7
99,99,999999,0.02553765178871909,0.0,0.07360733431580607,7
